hsa:246181	CDS	1	AKR7L, AFAR3, AFB1-AR 3, AFB1-AR3, AKR7A4; aldo-keto reductase family 7 like (gene/pseudogene)
hsa:9103	CDS	1	FCGR2C, CD32, CD32C, CDW32, FCG2, FCRIIC, FcgammaRIIc, IGFR2; Fc gamma receptor IIc (gene/pseudogene)
hsa:81439	CDS	1	OR9H1, OR9H1P, UNQ9373; olfactory receptor family 9 subfamily H member 1 pseudogene (gene/pseudogene)
hsa:112441436	CDS	2	SCYGR10, KRTAP28-10, KRTAP28p2; small cysteine and glycine repeat containing 10 (gene/pseudogene)
hsa:65944	CDS	6	OR2B8, OR2B8P, OR6-10, dJ313I6.4, hs6M1-29P; olfactory receptor family 2 subfamily B member 8 (gene/pseudogene)
hsa:392133	CDS	7	OR10AC1, OR10AC1P; olfactory receptor family 10 subfamily AC member 1 (gene/pseudogene)
hsa:81248	CDS	11	OR52P1, OR11-66, OR52P1P; olfactory receptor family 52 subfamily P member 1 (gene/pseudogene)
hsa:81169	CDS	11	OR8J2, OR8J2P; olfactory receptor family 8 subfamily J member 2 (gene/pseudogene)
hsa:387815	CDS	11	OR8G3, OR8G3P; olfactory receptor family 8 subfamily G member 3 (gene/pseudogene)
hsa:5542	CDS	12	PRB1, PM, PMF, PMS, PRB1L, PRB1M; proline rich protein BstNI subfamily 1
hsa:283617	CDS	14	OR4K3, OR14-10, OR4K3P; olfactory receptor family 4 subfamily K member 3 (gene/pseudogene)
hsa:317702	CDS	16	VN1R3, FKSG46, V1RL3, V1RL3p; vomeronasal 1 receptor 3
hsa:653166	CDS	17	OR1D4, OR17-30; olfactory receptor family 1 subfamily D member 4
hsa:140687	CDS	20	GCNT7, C20orf105, dJ1153D9.2, gcnt; glucosaminyl (N-acetyl) transferase family member 7
hsa:1564	CDS	22	CYP2D7, CYP2D, CYP2D6, CYP2D7AP, CYP2D7P, CYP2D7P1, CYP2D@, P450C2D, P450DB1, RNA40057; cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)
hsa:100861532	rRNA	Unknown	RNA45SN5, RNA45S5; RNA, 45S pre-ribosomal N5
hsa:100008588	rRNA	Unknown	RNA18SN5, RN18S1, RNA18S5; RNA, 18S ribosomal RNA N5
hsa:100008587	rRNA	Unknown	RNA5-8SN5, RN5-8S1, RNA5-8S5; RNA, 5.8S ribosomal RNA N5
hsa:100008589	rRNA	Unknown	RNA28SN5, RN28S1, RNA28S5; RNA, 28S ribosomal RNA N5
hsa:100288966	CDS	Unknown	A26B3, ANKRD21, POTE, POTED; POTE ankyrin domain family member D
hsa:124905313	ncRNA	Unknown	U6 spliceosomal RNA
hsa:102723382	CDS	Unknown	ankyrin repeat domain-containing protein 20B-like
hsa:124905334	ncRNA	Unknown	U6 spliceosomal RNA
hsa:105379554	CDS	Unknown	maFF-interacting protein
hsa:112268317	CDS	Unknown	extensin-like
hsa:105379561	CDS	Unknown	uncharacterized protein LOC105379561 isoform X3
hsa:105379417	CDS	Unknown	putative ankyrin repeat domain-containing protein 20A2 isoform X1
hsa:124905564	CDS	1:complement(4611..>32450)	neuroblastoma breakpoint family member 1-like
hsa:102466751	ncRNA	1:complement(17369..17391)	MIR6859-1, hsa-mir-6859-1; hsa-miR-6859-3p
hsa:124905321	ncRNA	1:complement(21861..22024)	U1 spliceosomal RNA
hsa:317705	CDS	1:22515..23588	VN1R5, V1RL5; vomeronasal type-1 receptor 5
hsa:107987367	tRNA	1:complement(28755..28828)	TRN-GTT26-1; tRNA-Asn
hsa:100302278	ncRNA	1:30438..30458	MIR1302-2, MIRN1302-2, hsa-mir-1302-2; hsa-miR-1302
hsa:107987368	tRNA	1:complement(31635..31706)	TRNAE-UUC; tRNA-Glu
hsa:79501	CDS	1:65419..71585	OR4F5; olfactory receptor 4F5
hsa:124905320	CDS	1:complement(95395..>96884)	methyl-CpG-binding domain protein 6-like
hsa:105379522	CDS	1:96974..>107692	zinc finger protein 717-like
hsa:124905422	rRNA	1:complement(149485..149603)	5S ribosomal RNA
hsa:124905433	rRNA	1:complement(151724..151842)	5S ribosomal RNA
hsa:124905436	rRNA	1:complement(153965..154083)	5S ribosomal RNA
hsa:124905437	rRNA	1:complement(156204..156322)	5S ribosomal RNA
hsa:653606	CDS	1:157184..159964	PRAMEF22, PRAMEF3L; PRAME family member 22
hsa:124905438	rRNA	1:complement(158443..158561)	5S ribosomal RNA
hsa:124905424	rRNA	1:complement(162927..163045)	5S ribosomal RNA
hsa:124905425	rRNA	1:complement(165165..165283)	5S ribosomal RNA
hsa:124905426	rRNA	1:complement(167406..167524)	5S ribosomal RNA
hsa:124905427	rRNA	1:complement(169646..169764)	5S ribosomal RNA
hsa:124905428	rRNA	1:complement(171884..172002)	5S ribosomal RNA
hsa:124905429	rRNA	1:complement(174127..174245)	5S ribosomal RNA
hsa:124905430	rRNA	1:complement(176368..176486)	5S ribosomal RNA
hsa:124905431	rRNA	1:complement(178609..178727)	5S ribosomal RNA
hsa:124905432	rRNA	1:complement(180850..180968)	5S ribosomal RNA
hsa:124905434	rRNA	1:complement(183089..183207)	5S ribosomal RNA
hsa:391121	CDS	1:184030..184965	OR10J4, OR10J4P, OST717; olfactory receptor 10J4
hsa:124905435	rRNA	1:complement(185327..185445)	5S ribosomal RNA
hsa:102465909	ncRNA	1:complement(187891..187913)	MIR6859-2, hsa-mir-6859-2; hsa-miR-6859-3p
hsa:124905421	CDS	1:223613..227334	uncharacterized protein LOC124905421 isoform X1
hsa:124905578	tRNA	1:complement(350249..350319)	TRNAG-CCC; tRNA-Gly
hsa:112268260	CDS	1:complement(365134..382235)	uncharacterized protein LOC112268260
hsa:124905558	CDS	1:complement(366657..428849)	putative neuroblastoma breakpoint family member 7
hsa:128966566	CDS	1:complement(407444..428892)	uncharacterized protein LOC128966566 isoform X1
hsa:729759	CDS	1:complement(450740..451678)	OR4F29, OR7-21; olfactory receptor 4F3/4F16/4F29
hsa:124905574	ncRNA	1:complement(492015..492178)	U1 spliceosomal RNA
hsa:124905579	tRNA	1:complement(498404..498477)	TRNAN-GUU; tRNA-Asn
hsa:124905580	tRNA	1:complement(515512..515583)	TRNAE-UUC; tRNA-Glu
hsa:124904706	ncRNA	1:complement(516376..516479)	U6 spliceosomal RNA
hsa:124905581	tRNA	1:complement(526175..526245)	TRNAG-CCC; tRNA-Gly
hsa:124905553	CDS	1:545401..568535	espin-like
hsa:124905557	CDS	1:567488..569012	eukaryotic translation initiation factor 1A, X-chromosomal
hsa:102724250	CDS	1:complement(585134..647311)	uncharacterized protein LOC102724250 isoform 8
hsa:105378947	CDS	1:complement(586287..611297)	proline-rich extensin-like protein EPR1
hsa:113219467	ncRNA	1:complement(632668..632685)	MIR12136; hsa-miR-12136
hsa:81399	CDS	1:complement(676076..720101)	OR4F16, OR1-1, OR7-21; olfactory receptor 4F3/4F16/4F29
hsa:124905582	tRNA	1:complement(707410..707483)	TRNAN-GUU; tRNA-Asn
hsa:124905583	tRNA	1:complement(710273..710344)	TRNAE-UUC; tRNA-Glu
hsa:124905556	CDS	1:713963..714554	FAM231A/C-like protein LOC102723383 isoform X1
hsa:124905585	tRNA	1:complement(795571..795644)	TRNAN-GUU; tRNA-Asn
hsa:124905586	tRNA	1:complement(798434..798505)	TRNAE-UUC; tRNA-Glu
hsa:148398	CDS	1:923923..944574	SAMD11, MRS; sterile alpha motif domain-containing protein 11 isoform 3
hsa:26155	CDS	1:complement(944203..959256)	NOC2L, NET15, NET7, NIR, PPP1R112; nucleolar complex protein 2 homolog
hsa:124905584	tRNA	1:948125..948196	TRNAE-UUC; tRNA-Glu
hsa:124905587	tRNA	1:950986..951059	TRNAN-GUU; tRNA-Asn
