Supplementary Materials: Binding data for rapamycin regulatory network																
ORF	Gene name	Description	Binding p-values													
			DAL80 Rapamycin	DAL81 Rapamycin	DAL82 Rapamycin	FHL1 Rapamycin	GCN4 Rapamycin	UGA3 Rapamycin	RTG1 Rapamycin	RTG3 Rapamycin	MSN2 Rapamycin	MSN4 Rapamycin	GAT1 Rapamycin	HAP2 Rapamycin	GLN3 Rapamycin	GZF3 Rapamycin
YAL001C	TFC3	"TFIIIC (transcription initiation factor) subunit, 138 kD"	0.279	0.202	0.322	0.663	0.173	0.222	0.689	0.412	0.474	0.398	0.169	0.36	0.167	0.098
YAL002W	VPS8	"vacuolar sorting protein, 134 kD"	0.512	0.93	0.903	0.722	0.491	0.903	0.74	0.811	0.868	0.722	0.62	0.906	0.745	0.831
YAL003W	EFB1	translation elongation factor eEF1beta	0.95	0.517	0.499	0.873	0.474	0.905	0.881	0.695	0.623	0.505	0.916	0.982	0.803	0.923
YAL004W	YAL004W	strong similarity to A.klebsiana glutamate dehydrogenase	0.973	0.783	0.956	0.893	0.922	0.705	0.972	0.855	0.924	0.606	0.666	0.539	0.703	0.918
YAL005C	SSA1	"heat shock protein of HSP70 family, cytosolic"	0.95	0.517	0.499	0.873	0.474	0.905	0.881	0.695	0.623	0.505	0.916	0.982	0.803	0.923
YAL007C	ERP2	p24 protein involved in membrane trafficking	0.176	0.524	0.515	0.609	0.664	0.719	0.315	0.342	0.365	0.383	0.515	0.721	0.76	0.506
YAL008W	FUN14	hypothetical protein	0.314	0.859	0.808	0.799	0.745	0.85	0.727	0.87	0.832	0.661	0.664	0.792	0.761	0.735
YAL009W	SPO7	meiotic protein	0.468	0.786	0.759	0.581	0.816	0.695	0.435	0.77	0.662	0.647	0.741	0.431	0.752	0.421
YAL010C	MDM10	involved in mitochondrial morphology and inheritance	0.468	0.786	0.759	0.581	0.816	0.695	0.435	0.77	0.662	0.647	0.741	0.431	0.752	0.421
YAL011W	FUN36	weak similarity to Mus musculus p53-associated cellular protein	0.955	0.942	0.934	0.871	0.884	0.986	0.873	0.888	0.966	0.967	0.972	0.96	0.964	0.892
YAL012W	CYS3	cystathionine gamma-lyase	0.47	0.75	0.759	0.953	0.811	0.985	0.957	0.953	0.976	0.956	0.956	0.93	0.961	0.951
YAL013W	DEP1	regulator of phospholipid metabolism	0.402	0.824	0.625	0.729	0.124	0.821	0.5	0.786	0.79	0.806	0.891	0.753	0.902	0.855
YAL014C	(FUN34)	hypothetical protein	0.402	0.824	0.625	0.729	0.124	0.821	0.5	0.786	0.79	0.806	0.891	0.753	0.902	0.855
YAL015C	NTG1	DNA repair protein	0.467	0.906	0.848	0.701	0.512	0.794	0.536	0.646	0.86	0.688	0.738	0.625	0.739	0.596
YAL016W	TPD3	"ser/thr protein phosphatase 2A, regulatory chain A"	0.068	0.418	0.447	0.72	0.856	0.813	0.463	0.672	0.813	0.429	0.618	0.527	0.701	0.548
YAL017W	FUN31	similarity to ser/thr protein kinases	0.316	0.923	0.795	0.46	0.53	0.368	0.118	0.629	0.175	0.08	0.766	0.81	0.494	0.411
YAL018C	YAL018C	weak similarity to hypothetical proteins YOL047c and YOL048c	0.316	0.923	0.795	0.46	0.53	0.368	0.118	0.629	0.175	0.08	0.766	0.81	0.494	0.411
YAL019W	FUN30	similarity to helicases of the SNF2/RAD54 family	0.098	0.655	0.436	0.107	0.615	0.257	0.304	0.444	0.4	0.523	0.737	0.405	0.751	0.425
