ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
7893057			1.79	3.972
7893706			-1.044	3.689
7895803			1.838	3.97
7896470			1.562	3.873
7896577			1.024	3.788
7896687			-1.326	5.276
7896690			-1.498	6.95
7896697			-1.556	4.051
7896703			-1.162	4.742
7896707			-1.4	6.363
7896715			-1.934	5.398
7898623	UBXN10	UBX domain protein 10	1.132	5.923
7902072			1.22	4.011
7902074	LEPROT///LEPR	leptin receptor overlapping transcript///leptin receptor	1.314	5.001
7902102			1.6	5.402
7903308	TRMT13	tRNA methyltransferase 13 homolog	0.988	5.023
7906085	LMNA	lamin A/C	-1.148	3.81
7906377	MNDA	myeloid cell nuclear differentiation antigen	-1.352	4.039
7906757	FCGR2A	Fc fragment of IgG receptor IIa	1.322	4.648
7908459	CFH	complement factor H	1.954	7.298
7911301	PGBD2	piggyBac transposable element derived 2	0.62	3.943
7913450	HSPG2	heparan sulfate proteoglycan 2	1.23	6.544
7915504	ELOVL1	ELOVL fatty acid elongase 1	0.628	4.089
7916432	DHCR24	24-dehydrocholesterol reductase	2.012	8.322
7916986	NEGR1	neuronal growth regulator 1	-1.234	4.177
7917359	ZNHIT6	zinc finger HIT-type containing 6	0.764	3.703
7917954	FRRS1	ferric chelate reductase 1	0.892	3.845
7918323	SORT1	sortilin 1	1.162	5.45
7918457	KCNA3	potassium voltage-gated channel subfamily A member 3	-2.342	7.228
7918857	TSPAN2	tetraspanin 2	1.614	7.734
7919751	MCL1	BCL2 family apoptosis regulator	-1.036	3.723
7922137	NME7	NME/NM23 family member 7	0.564	4.038
7922219	SELL	selectin L	-1.346	5.381
7922268	KIFAP3	kinesin associated protein 3	0.566	3.693
7922717	RGS16	regulator of G-protein signaling 16	-0.906	5.369
7924817	PRO2012	uncharacterized protein PRO2012	0.814	3.655
7925954	NET1	neuroepithelial cell transforming 1	0.92	3.897
7926223	CAMK1D	calcium/calmodulin dependent protein kinase ID	0.938	3.866
7926506	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	1.034	4.63
7929574	DNTT	DNA nucleotidylexotransferase	-1.152	3.712
7929816	SCD	stearoyl-CoA desaturase	1.326	5.039
7932285	FAM188A	family with sequence similarity 188 member A	0.738	3.986
7932407	ST8SIA6	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	0.972	3.962
7935270	BLNK	B-cell linker	-1.478	7.011
