node_index,id,type,logic,embedding_l2_norm,encoder
0,RASGRF1,gene,,0.0,proteinbert
1,RASGRF2,gene,,0.0,proteinbert
2,fu:ea3af571,functional_unit,OR,0.012280411086976528,proteinbert
3,DUSP10,gene,,0.0,proteinbert
4,DUSP1,gene,,0.0,proteinbert
5,DUSP2,gene,,0.0,proteinbert
6,DUSP4,gene,,0.0,proteinbert
7,DUSP5,gene,,0.0,proteinbert
8,DUSP6,gene,,0.0,proteinbert
9,DUSP7,gene,,0.0,proteinbert
10,DUSP8,gene,,0.0,proteinbert
11,DUSP9,gene,,0.0,proteinbert
12,DUSP16,gene,,0.0,proteinbert
13,fu:bd9bd64d,functional_unit,OR,0.0,proteinbert
14,DUSP3,gene,,0.0,proteinbert
15,PTPN7,gene,,0.0,proteinbert
16,PTPRR,gene,,0.0,proteinbert
17,PTPN5,gene,,0.0,proteinbert
18,fu:645ada17,functional_unit,OR,0.0,proteinbert
19,PPM1B,gene,,0.0,proteinbert
20,fu:3c67a02d,functional_unit,SINGLE,0.0,proteinbert
21,FASLG,gene,,0.0,proteinbert
22,fu:d4ebbf2b,functional_unit,SINGLE,0.0,proteinbert
23,MAP4K4,gene,,0.0,proteinbert
24,fu:f0d46f11,functional_unit,SINGLE,0.0,proteinbert
25,PLA2G4B,gene,,0.0,proteinbert
26,PLA2G4E,gene,,0.0,proteinbert
27,PLA2G4F,gene,,0.0,proteinbert
28,PLA2G4D,gene,,0.0,proteinbert
29,PLA2G4A,gene,,0.0,proteinbert
30,PLA2G4C,gene,,0.0,proteinbert
31,JMJD7-PLA2G4B,gene,,0.0,proteinbert
32,fu:0c2b138c,functional_unit,OR,0.016428235918283463,proteinbert
33,STMN1,gene,,0.0,proteinbert
34,fu:e661480b,functional_unit,SINGLE,0.06558124721050262,proteinbert
35,MAPT,gene,,0.0,proteinbert
36,fu:7e702847,functional_unit,SINGLE,0.06558124721050262,proteinbert
37,NFKB1,gene,,0.0,proteinbert
38,NFKB2,gene,,0.0,proteinbert
39,RELA,gene,,0.0,proteinbert
40,RELB,gene,,0.0,proteinbert
41,fu:3c93b301,functional_unit,OR,0.03646031767129898,proteinbert
42,CHUK,gene,,0.0,proteinbert
43,IKBKB,gene,,0.0,proteinbert
44,IKBKG,gene,,0.0,proteinbert
45,fu:523a744b,functional_unit,OR,0.07359420508146286,proteinbert
46,MAP3K14,gene,,0.0,proteinbert
47,fu:b9ec221f,functional_unit,SINGLE,0.07131946086883545,proteinbert
48,MAPK1,gene,,0.0,proteinbert
49,MAPK3,gene,,0.0,proteinbert
50,fu:7c6d4d4a,functional_unit,OR,0.05153437331318855,proteinbert
51,LAMTOR3,gene,,0.0,proteinbert
52,fu:93eeec94,functional_unit,SINGLE,0.06558124721050262,proteinbert
